Offense charged,Total,White,"Black or
African
American","American
Indian or
Alaska
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander"
Murder and nonnegligent manslaughter,"8,383","3,799","4,379",98,101,6
Rape,"13,515","8,946","4,229",160,173,7
Robbery,"78,538","32,945","44,271",579,649,94
Aggravated assault,"291,031","183,092","98,748","4,356","4,423",412
Burglary,"203,089","136,990","61,709","1,966","2,196",228
Larceny-theft,"990,936","677,173","284,358","16,402","12,605",398
Motor vehicle theft,"52,307","34,864","15,960",685,725,73
Arson,"8,364","6,198","1,925",130,107,4
Violent crime,"391,467","228,782","151,627","5,193","5,346",519
Property crime,"1,254,696","855,225","363,952","19,183","15,633",703
Other assaults,"881,086","573,546","283,357","14,041","9,717",425
Forgery and counterfeiting,"48,581","31,208","16,375",288,677,33
Fraud,"112,920","74,682","35,958","1,145","1,094",41
Embezzlement,"12,574","7,882","4,386",87,207,12
"Stolen property; buying, receiving, possessing","74,541","50,237","22,687",684,862,71
Vandalism,"161,078","113,842","42,566","2,951","1,638",81
"Weapons; carrying, possessing, etc.","112,228","65,317","44,671",888,"1,251",101
Prostitution and commercialized vice,"41,946","22,666","17,378",386,"1,492",24
Sex offenses (except rape and prostitution),"46,553","33,695","11,462",622,744,30
Drug abuse violations,"1,204,162","815,181","365,785","9,408","12,930",858
Gambling,"5,055","1,433","3,362",27,226,7
Offenses against the family and children,"78,465","51,017","25,519","1,414",511,4
Driving under the influence,"910,470","766,440","113,928","12,575","16,831",696
Liquor laws,"277,444","222,201","40,665","10,861","3,672",45
Drunkenness,"356,427","288,146","56,885","7,399","3,550",447
Disorderly conduct,"372,202","231,604","129,782","7,982","2,775",59
Vagrancy,"21,354","13,732","6,802",581,222,17
All other offenses (except traffic),"2,602,939","1,741,855","790,854","43,953","25,090","1,187"
Suspicion,825,499,303,12,11,0
Curfew and loitering law violations,"47,622","25,007","21,351",610,630,24
